,NumberOfBHK,Price,Transaction,Availability,PostedBy,ReraApproved,AreaName,BuiltUpArea_sqft
0,3,6999000,Resale,Ready To Move,Individual,No, Jigani,1228
1,3,10500000,Resale,Ready To Move,Individual,Yes, Thanisandra,1515
2,3,5800000,New Property,Ready To Move,Individual,No, TC Palya,1500
3,3,18000000,Resale,Ready To Move,Broker,No, Electronic City Phase I,1585
4,3,18500000,Resale,Ready To Move,Individual,Yes, Sarjapur,1536
5,2,9000000,Resale,Ready To Move,Individual,No, Yelahanka New Town,1076
6,3,8500000,Resale,Ready To Move,Broker,No, Bannerghatta Jigani Road,1691
7,3,20700000,New Property,Ready To Move,Broker,Yes, Chikkagubbi Village,1899
8,3,12300000,New Property,Ready To Move,Broker,Yes, Hennur Bagalur Road,1900
9,3,12500000,Resale,Ready To Move,Individual,No, Muthanallur,1900
10,4,27600000,New Property,Ready To Move,Broker,Yes, Thanisandra Ma,2553
11,2,6100000,Resale,Ready To Move,Broker,No, Narayanapura,1535
12,2,7200000,New Property,Ready To Move,Broker,Yes, Hennur,1152
13,3,15800000,New Property,Ready To Move,Broker,Yes, Hoodi,1825
14,3,16000000,New Property,Ready To Move,Broker,Yes, Whitefield,1399
15,3,29000000,New Property,Ready To Move,Broker,Yes, Whitefield,1825
16,3,11600000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1455
17,3,16000000,New Property,Ready To Move,Broker,Yes, Chikkavaderapura,1680
18,3,8900000,New Property,Ready To Move,Broker,Yes, Samethanahalli,1221
19,3,10800000,New Property,Ready To Move,Broker,Yes, Mysore Road,1360
20,2,7714000,New Property,Ready To Move,Broker,Yes, Mysore Road,980
21,4,52900000,New Property,Ready To Move,Broker,Yes, Jakkur,5263
22,4,20000000,New Property,Ready To Move,Broker,Yes, Devanahalli,2100
23,2,9517000,New Property,Ready To Move,Broker,Yes, Gangamma Circle,1230
24,4,20000000,New Property,Ready To Move,Broker,Yes, Budigere Cross,3053
25,3,20800000,New Property,Ready To Move,Broker,Yes, Bellandur,1665
26,2,15700000,New Property,Ready To Move,Broker,Yes, Bannerghatta Road,1335
27,2,5599000,Resale,29-Dec-2024,Individual,No, Electronic City Phase I,1200
28,3,6664000,New Property,Ready To Move,Broker,Yes, Whitefield,1750
29,3,9900000,New Property,Ready To Move,Broker,Yes, Whitefield,1150
30,3,9650000,New Property,Ready To Move,Broker,Yes, Devanahalli,1273
31,3,6664000,New Property,Ready To Move,Broker,Yes, Whitefield,1750
32,3,11100000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1100
33,3,9863000,New Property,Ready To Move,Broker,Yes, Whitefield,1110
34,3,8389000,New Property,Ready To Move,Broker,Yes, Devanahalli,1273
35,3,9872000,New Property,Ready To Move,Broker,Yes, Devanahalli,1498
36,3,9863000,New Property,Ready To Move,Broker,Yes, Whitefield,1110
37,2,6839000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,680
38,2,4957000,New Property,Ready To Move,Broker,Yes, Whitefield,600
39,2,7271000,New Property,Ready To Move,Broker,Yes, Whitefield,880
40,3,15000000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1314
41,2,6649000,New Property,Ready To Move,Broker,Yes, Devanahalli,1009
42,2,12700000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,1215
43,3,11600000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1455
44,2,12200000,New Property,Ready To Move,Broker,Yes, Banashankari 6th Stage,1165
45,2,27600000,New Property,Ready To Move,Broker,Yes, Jayanagar,1730
46,2,6100000,Resale,Ready To Move,Broker,No, Narayanapura,1535
47,3,13400000,New Property,Ready To Move,Broker,Yes, Whitefield,1645
48,3,13000000,New Property,Ready To Move,Broker,Yes, Whitefield,1480
49,4,26000000,New Property,Ready To Move,Broker,Yes, Thanisandra Ma,2600
50,2,9573000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,907
51,2,6570000,New Property,Ready To Move,Broker,Yes, Devanahalli,997
52,4,64800000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,3600
53,4+,108500000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,6027
54,4+,50000000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,7794
55,4,102200000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,5676
56,2,64000000,Resale,Ready To Move,Individual,No, Uttarahalli,1096
57,3,11100000,New Property,Ready To Move,Broker,No, Kanakapura Road,1100
58,2,7271000,New Property,Ready To Move,Broker,No, Whitefield,880
59,4,102200000,New Property,Ready To Move,Broker,No, Sarjapur Road,5676
60,4,64800000,New Property,Ready To Move,Broker,No, Sarjapur Road,3600
61,2,6570000,New Property,Ready To Move,Broker,No, Devanahalli,997
62,4+,14000000,New Property,Ready To Move,Broker,No, Sarjapur Road,7794
63,3,9650000,New Property,Ready To Move,Broker,Yes, Devanahalli,1273
64,3,18400000,New Property,Ready To Move,Broker,Yes, Whitefield,1690
65,4,31700000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,2550
66,4+,55000000,New Property,Ready To Move,Broker,Yes, Kundalahalli,4877
67,2,18000000,New Property,Ready To Move,Broker,Yes, Thanisandra,1280
68,3,23000000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,2000
69,4+,108500000,New Property,Ready To Move,Broker,No, Sarjapur Road,6027
70,3,15000000,New Property,Ready To Move,Broker,No, Kanakapura Road,1314
71,2,6649000,New Property,Ready To Move,Broker,No, Devanahalli,1009
72,3,8389000,New Property,Ready To Move,Broker,No, Devanahalli,1273
73,4+,35000000,New Property,Ready To Move,Broker,No, Kanakapura Road,2140
74,4+,31000000,New Property,Ready To Move,Broker,No, Whitefield,2200
75,3,36000000,Resale,Ready To Move,Broker,No, Mavalli,2250
76,4+,52000000,New Property,Ready To Move,Broker,No, Whitefield,3500
77,3,13500000,New Property,Ready To Move,Broker,No, Kanakapura Road,2221
78,3,25800000,Resale,Ready To Move,Broker,No, Whitefield,1905
79,3,55000000,New Property,Ready To Move,Broker,No, Marathahalli,2530
80,3,9100000,New Property,Ready To Move,Broker,No, Kengeri,1481
81,2,7200000,Resale,Ready To Move,Broker,No, Kengeri,1199
82,3,20000000,New Property,Ready To Move,Broker,No, Hennur Road,1597
